"Interval 
orar RO","Sfert 
ora",ZIUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
1,1,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,2,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,3,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,4,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
2,1,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,2,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,3,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,4,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
3,1,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,2,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,3,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,4,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
4,1,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,2,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,3,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,4,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
5,1,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,2,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,3,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,4,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
6,1,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,2,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,3,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,4,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
7,1,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,2,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,3,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
,4,0,2,4.5,4.5,4.25,3.75,3.75,3.75,3.75,3.5,3.5,3.5,4.25,3.5,3.5,3.5,3.5,3.25,3.625,3.625,4,4,3,4,3.5,4,3.75,4.5,4.5,4.5,4.375
